,url,scene_tag,start_frame,end_frame,mean_frame
157,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T180000Z.mov,d2_p2_z0,4261,4371,4316
158,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T210000Z.mov,d2_p2_z0,2521,2621,2571
159,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T210000Z.mov,d2_p2_z0,2671,2781,2726
160,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T210000Z.mov,d2_p2_z0,4001,4211,4106
161,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/26/CAMHDA301-20151126T210000Z.mov,d2_p2_z0,4301,4351,4326
162,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T000000Z.mov,d2_p2_z0,2501,2601,2551
163,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T000000Z.mov,d2_p2_z0,2651,2761,2706
164,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T000000Z.mov,d2_p2_z0,3981,4151,4066
165,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T000000Z.mov,d2_p2_z0,4211,4331,4271
166,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T030000Z.mov,d2_p2_z0,2531,2571,2551
167,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T030000Z.mov,d2_p2_z0,2641,2751,2696
168,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T030000Z.mov,d2_p2_z0,3971,4181,4076
169,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T030000Z.mov,d2_p2_z0,4241,4301,4271
170,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T060000Z.mov,d2_p2_z0,2691,2801,2746
171,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T060000Z.mov,d2_p2_z0,4021,4231,4126
172,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T060000Z.mov,d2_p2_z0,4291,4381,4336
173,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T090000Z.mov,d2_p2_z0,2481,2731,2606
174,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T090000Z.mov,d2_p2_z0,3951,4161,4056
175,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T090000Z.mov,d2_p2_z0,4221,4301,4261
176,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T120000Z.mov,d2_p2_z0,2671,2781,2726
177,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T120000Z.mov,d2_p2_z0,4001,4171,4086
178,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T120000Z.mov,d2_p2_z0,4251,4351,4301
179,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T150000Z.mov,d2_p2_z0,2511,2801,2656
180,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T150000Z.mov,d2_p2_z0,4011,4191,4101
181,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T150000Z.mov,d2_p2_z0,4271,4371,4321
182,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T180000Z.mov,d2_p2_z0,2521,2811,2666
183,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T180000Z.mov,d2_p2_z0,4021,4241,4131
184,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T180000Z.mov,d2_p2_z0,4301,4381,4341
185,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T210000Z.mov,d2_p2_z0,2641,2751,2696
186,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T210000Z.mov,d2_p2_z0,3971,4141,4056
187,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/27/CAMHDA301-20151127T210000Z.mov,d2_p2_z0,4221,4321,4271
188,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/28/CAMHDA301-20151128T000000Z.mov,d2_p2_z0,2531,2651,2591
189,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/28/CAMHDA301-20151128T000000Z.mov,d2_p2_z0,2701,2811,2756
190,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/28/CAMHDA301-20151128T000000Z.mov,d2_p2_z0,4031,4201,4116
191,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/28/CAMHDA301-20151128T000000Z.mov,d2_p2_z0,4251,4381,4316
192,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/28/CAMHDA301-20151128T030000Z.mov,d2_p2_z0,2501,2601,2551
193,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/28/CAMHDA301-20151128T030000Z.mov,d2_p2_z0,2651,2761,2706
194,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/28/CAMHDA301-20151128T030000Z.mov,d2_p2_z0,3981,4191,4086
